epoch,loss,lr,val_loss
0,0.0006366527522914112,1e-04,0.000597685226239264
1,0.0005620521842502058,1e-04,0.0006658872007392347
2,0.00048512479406781495,1e-04,0.00041090205195359886
3,0.0003624320379458368,1e-04,0.0002832491009030491
4,0.0002838135987985879,1e-04,0.0002492440689820796
5,0.00025253245257772505,1e-04,0.00032081169774755836
6,0.00023362600768450648,1e-04,0.0001863003708422184
7,0.00017717144510243088,1e-04,0.00016446855443064123
8,0.00016739239799790084,1e-04,0.00016196948126889765
9,0.00014862671378068626,1e-04,0.00013873809075448662
10,0.00013064511585980654,1e-04,0.0001462497893953696
11,0.00012774814967997372,1e-04,0.00013685321027878672
12,0.00012315750063862652,1e-04,0.00013862160267308354
13,0.0001085360927390866,1e-04,0.0001497429475421086
14,0.0001055803950293921,1e-04,0.00012410084309522063
15,9.961723844753578e-05,1e-04,0.00012601973139680922
16,9.653165034251288e-05,1e-04,0.00010979043872794136
17,9.583272185409442e-05,1e-04,0.00011258119047852233
18,8.829259604681283e-05,1e-04,0.0001222942810272798
19,8.955784142017365e-05,1e-04,0.00011996369721600786
20,8.83647589944303e-05,1e-04,0.00010459090117365122
21,7.481666398234665e-05,1e-04,0.00012287312711123377
22,7.550228474428877e-05,1e-04,0.0001001704586087726
23,7.519924110965803e-05,1e-04,9.45498759392649e-05
24,7.515846664318815e-05,1e-04,0.00010086748079629615
25,7.301252480829135e-05,1e-04,9.895054972730577e-05
26,7.059251220198348e-05,1e-04,9.531920659355819e-05
27,6.702708196826279e-05,1e-04,8.824070391710848e-05
28,7.210210605990142e-05,1e-04,8.52089433465153e-05
29,7.10453387000598e-05,1e-04,0.00011373962479410693
30,7.584945706184953e-05,1e-04,0.00010371902317274362
31,6.50567453703843e-05,1e-04,8.02967551862821e-05
32,6.17933037574403e-05,1e-04,9.686013800092041e-05
33,5.783341111964546e-05,1e-04,9.252782183466479e-05
34,5.959283953416161e-05,1e-04,0.00010637549712555483
35,6.07434194535017e-05,1e-04,9.068277722690254e-05
36,6.0743888752767816e-05,1e-04,9.385685552842915e-05
37,5.257163502392359e-05,5e-05,8.80307488841936e-05
38,4.711723522632383e-05,5e-05,8.878100925358012e-05
39,4.808425364899449e-05,5e-05,9.077417780645192e-05
40,4.777439244207926e-05,5e-05,7.880043995101005e-05
41,4.931007060804404e-05,5e-05,9.743121336214244e-05
42,4.847371383220889e-05,5e-05,8.814990724204108e-05
43,4.5889581087976694e-05,5e-05,8.736255404073745e-05
44,4.518480272963643e-05,5e-05,8.777944458415732e-05
45,4.6411605580942705e-05,5e-05,7.573799666715786e-05
46,4.4002445065416396e-05,5e-05,8.585373871028423e-05
47,4.7147321311058477e-05,5e-05,8.376048208447173e-05
48,4.171560431132093e-05,5e-05,8.912281191442162e-05
49,4.5619486627401784e-05,5e-05,8.746519597480074e-05
50,4.569377051666379e-05,5e-05,9.228806447936222e-05
51,3.909690713044256e-05,2.5e-05,8.447952859569341e-05
52,3.933521657017991e-05,2.5e-05,8.209104998968542e-05
53,4.188188540865667e-05,2.5e-05,9.289613808505237e-05
54,3.9400707464665174e-05,2.5e-05,8.75106270541437e-05
55,3.973580169258639e-05,2.5e-05,8.374038588954136e-05
56,3.8524674891959876e-05,2.5e-05,8.472322224406525e-05
57,3.536157964845188e-05,2.5e-05,8.145987521857023e-05
58,3.6041776183992624e-05,1.25e-05,8.456671639578417e-05
59,3.978660606662743e-05,1.25e-05,7.892178109614179e-05
60,3.876042319461703e-05,1.25e-05,9.924468031385913e-05
61,3.4193933970527723e-05,1.25e-05,9.072473767446354e-05
62,3.56187010766007e-05,1.25e-05,8.408811845583841e-05
63,3.855995601043105e-05,1.25e-05,8.115923992590979e-05
64,3.4540680644568056e-05,1.25e-05,7.35466746846214e-05
65,3.748631934286095e-05,1.25e-05,9.446673357160762e-05
66,3.498266596579924e-05,1.25e-05,8.139399869833142e-05
67,3.727535658981651e-05,1.25e-05,8.727548993192613e-05
68,3.650700455182232e-05,1.25e-05,8.457543299300596e-05
69,3.36827797582373e-05,1.25e-05,8.121901919366792e-05
70,3.6076598917134106e-05,6.25e-06,9.458415297558531e-05
71,3.555876901373267e-05,6.25e-06,8.830284787109122e-05
72,3.3376181818312034e-05,6.25e-06,7.65459772082977e-05
73,3.554924842319451e-05,6.25e-06,8.630210504634306e-05
74,3.642472074716352e-05,6.25e-06,8.270354010164738e-05
75,3.4352295188000426e-05,6.25e-06,7.706931501161307e-05
76,3.442066736170091e-05,6.25e-06,7.764044858049601e-05
77,3.6018056562170386e-05,3.125e-06,7.327533239731565e-05
78,3.39326034008991e-05,3.125e-06,7.780543819535524e-05
79,3.234290852560662e-05,3.125e-06,8.112141222227365e-05
80,3.7569614505628124e-05,3.125e-06,8.321180212078616e-05
81,3.4752320061670616e-05,3.125e-06,6.839459820184857e-05
82,3.3160624298034236e-05,3.125e-06,8.179793803719804e-05
83,3.5267294151708484e-05,3.125e-06,8.260831964435056e-05
84,3.340425973874517e-05,3.125e-06,7.74682339397259e-05
85,3.142897185171023e-05,3.125e-06,7.766336784698069e-05
86,3.286467836005613e-05,3.125e-06,8.050027827266604e-05
87,3.401674621272832e-05,1.5625e-06,9.381376730743796e-05
88,3.492247924441472e-05,1.5625e-06,7.941704825498164e-05
89,3.2774860301287845e-05,1.5625e-06,8.419364894507453e-05
90,3.5860844946000725e-05,1.5625e-06,8.24315648060292e-05
91,3.389183257240802e-05,1.5625e-06,7.838993769837543e-05
92,3.3737942430889234e-05,1.5625e-06,7.530760194640607e-05
93,3.410790304769762e-05,1.5625e-06,7.029101107036695e-05
94,3.364336953382008e-05,7.8125e-07,8.147898188326508e-05
95,3.39411708409898e-05,7.8125e-07,8.74643083079718e-05
96,3.3235453884117305e-05,7.8125e-07,8.403231913689524e-05
97,3.397898763068952e-05,7.8125e-07,7.429632387356833e-05
98,3.316987931611948e-05,7.8125e-07,8.464699203614146e-05
99,3.212591036572121e-05,7.8125e-07,7.209056639112532e-05
100,3.651151564554311e-05,7.8125e-07,8.733540744287893e-05
101,3.296386785223149e-05,3.90625e-07,8.112183422781527e-05
